name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,pyston,7,14,741,1.020,1272,0,62% 55% 57% 57% 57% 76% 67% 62%,0.214
binarytrees,python3,6,14,743,1.834,1832,0,74% 71% 71% 69% 69% 60% 65% 86%,0.349
binarytrees,pypy,1,14,743,3.604,85420,0,37% 48% 43% 60% 36% 42% 36% 34%,1.195
binarytrees,pypy3,6,14,743,3.354,89060,0,43% 36% 31% 36% 42% 55% 43% 38%,1.192
binarytrees,python-dev,1,14,706,2.197,15596,0,61% 64% 64% 64% 61% 64% 61% 84%,0.438
binarytrees,pyston,6,14,743,1.615,1324,0,82% 64% 64% 60% 59% 58% 59% 55%,0.335
binarytrees,python3,7,14,741,1.461,1620,0,69% 67% 79% 61% 68% 71% 64% 62%,0.285
binarytrees,python-dev,6,14,743,1.826,1544,0,64% 63% 61% 66% 83% 73% 59% 59%,0.352
binarytrees,pypy3,1,14,706,3.209,84960,0,42% 34% 33% 32% 45% 37% 47% 45%,1.085
binarytrees,pyston,1,14,743,1.929,16472,0,50% 46% 42% 52% 47% 46% 77% 51%,0.522
binarytrees,python3,1,14,706,1.614,1892,0,81% 70% 66% 77% 68% 63% 62% 65%,0.311
binarytrees,python,1,14,743,2.022,16340,0,54% 57% 56% 54% 64% 57% 63% 54%,0.466
chameneosredux,micropython,1,6000000,1191,245.283,4616,0,11% 6% 14% 8% 6% 5% 7% 7%,156.619
chameneosredux,python-dev,2,6000000,1191,269.414,7800,0,10% 6% 15% 10% 7% 7% 6% 7%,210.038
chameneosredux,nuitka,1,6000000,1191,257.335,10072,0,9% 7% 9% 9% 8% 10% 6% 11%,192.130
chameneosredux,python3,2,6000000,1191,320.195,8484,0,26% 25% 25% 25% 26% 26% 25% 25%,230.164
chameneosredux,python3,1,6000000,1191,296.432,8728,0,19% 14% 14% 13% 14% 15% 14% 14%,215.334
chameneosredux,python-dev,1,6000000,1191,269.552,7648,0,13% 6% 13% 9% 8% 7% 8% 7%,216.114
chameneosredux,pypy3,1,6000000,1191,250.151,56824,0,8% 7% 11% 9% 9% 8% 6% 8%,221.466
chameneosredux,pypy,1,6000000,1192,225.961,60648,0,14% 6% 14% 10% 6% 5% 5% 5%,161.610
chameneosredux,micropython,2,6000000,1191,230.261,4628,0,9% 4% 5% 9% 10% 9% 9% 9%,164.242
fannkuchredux,pypy3,3,10,894,4.553,72948,0,73% 69% 76% 71% 77% 75% 78% 72%,0.772
fannkuchredux,pypy3,4,10,1069,5.340,74416,0,74% 74% 78% 74% 74% 76% 81% 74%,0.888
fannkuchredux,python,1,10,1009,11.017,11460,0,6% 4% 97% 95% 94% 0% 1% 96%,2.852
fannkuchredux,pypy3,2,10,1008,1.546,73028,0,10% 69% 1% 42% 56% 0% 44% 1%,0.724
fannkuchredux,python-dev,1,10,1271,7.896,12676,0,10% 94% 93% 2% 90% 0% 95% 0%,2.097
fannkuchredux,micropython,6,10,552,6.214,4348,0,0% 0% 0% 100% 0% 0% 0% 0%,6.217
fannkuchredux,python3,6,10,552,5.634,8096,0,49% 21% 20% 16% 69% 19% 12% 13%,5.639
fannkuchredux,nuitka,2,10,1008,7.690,13532,0,11% 6% 97% 98% 94% 88% 1% 0%,1.999
fannkuchredux,python3,4,10,1069,14.551,12812,0,94% 95% 94% 90% 98% 90% 93% 90%,2.201
fannkuchredux,pypy,1,10,1009,2.081,75312,0,4% 77% 67% 1% 0% 1% 67% 65%,0.759
fannkuchredux,pypy3,6,10,552,0.714,59272,0,0% 1% 0% 0% 0% 1% 97% 0%,0.732
fannkuchredux,pyston,3,10,894,6.749,13080,0,90% 93% 93% 93% 93% 96% 93% 95%,0.906
fannkuchredux,python-dev,3,10,894,10.157,12628,0,90% 96% 96% 96% 95% 96% 96% 95%,1.340
fannkuchredux,pyston,6,10,552,4.439,8192,0,0% 0% 0% 0% 0% 100% 0% 0%,4.442
fannkuchredux,python-dev,6,10,552,4.221,7304,0,100% 1% 0% 0% 0% 0% 0% 0%,4.223
fannkuchredux,python3,2,10,1008,11.972,12672,0,97% 26% 98% 14% 8% 96% 98% 6%,3.070
fannkuchredux,nuitka,3,10,894,8.613,13512,0,96% 95% 91% 96% 95% 96% 94% 95%,1.138
fannkuchredux,python3,3,10,894,13.670,12852,0,87% 84% 97% 85% 90% 94% 89% 87%,2.309
fannkuchredux,nuitka,6,10,552,3.367,9924,0,1% 0% 0% 0% 0% 100% 0% 0%,3.369
fannkuchredux,pyston,2,10,1008,8.344,12904,0,93% 5% 0% 97% 4% 98% 0% 94%,2.155
fannkuchredux,python-dev,2,10,1008,9.702,12536,0,93% 7% 98% 0% 4% 0% 96% 97%,2.503
fannkuchredux,python3,1,10,1271,16.042,12888,0,98% 94% 29% 28% 30% 98% 99% 21%,4.116
fannkuchredux,graal,6,10,552,2.238,497060,0,5% 5% 89% 6% 19% 4% 10% 4%,1.894
fannkuchredux,pyston,4,10,1069,7.565,13008,0,92% 92% 92% 90% 89% 90% 90% 92%,1.044
fannkuchredux,nuitka,1,10,1271,5.694,13384,0,90% 5% 0% 97% 0% 7% 97% 96%,1.481
fannkuchredux,pypy3,1,10,1271,2.152,73676,0,67% 24% 0% 65% 66% 0% 67% 0%,0.757
fannkuchredux,nuitka,4,10,1069,11.294,13376,0,95% 90% 95% 95% 95% 95% 96% 94%,1.502
fannkuchredux,python-dev,4,10,1069,10.746,12664,0,95% 96% 97% 96% 94% 90% 97% 94%,1.418
fannkuchredux,rustpython,6,10,552,224.801,14552,0,0% 0% 0% 0% 100% 0% 0% 0%,224.814
fasta,pyston,2,2500000,889,3.975,8360,0,0% 0% 0% 0% 100% 0% 0% 0%,3.978
fasta,pypy3,1,2500000,904,1.893,65672,0,98% 1% 1% 1% 2% 1% 1% 1%,1.922
fasta,python3,2,2500000,889,5.875,8204,0,38% 17% 12% 13% 15% 9% 71% 9%,5.885
fasta,pyston,3,2500000,1647,3.215,8432,0,1% 0% 0% 0% 0% 0% 0% 100%,3.217
fasta,python-dev,3,2500000,1647,4.052,7920,0,0% 0% 0% 0% 0% 0% 0% 100%,4.065
fasta,pypy3,5,2500000,2016,5.545,72168,0,11% 55% 5% 10% 33% 2% 56% 4%,3.217
fasta,python3,1,2500000,904,5.573,8256,0,20% 9% 8% 9% 49% 49% 6% 7%,5.575
