name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,cython,1,10,706,0.167,0,0,39% 21% 11% 24%,0.183
binarytrees,cython,1,12,706,0.663,43300,0,57% 59% 78% 57%,0.271
binarytrees,cython,1,14,706,3.087,66784,0,87% 94% 86% 89%,0.869
binarytrees,python3,7,10,741,0.303,0,0,71% 40% 35% 38%,0.168
binarytrees,python3,7,12,741,1.240,56644,0,66% 79% 62% 69%,0.472
binarytrees,python3,7,14,741,5.853,65976,0,89% 93% 87% 89%,1.667
binarytrees,pyston,1,10,743,0.493,39356,0,36% 41% 32% 50%,0.466
binarytrees,pyston,1,12,743,0.797,247160,0,47% 67% 47% 47%,0.459
binarytrees,pyston,1,14,743,2.943,226948,0,71% 71% 85% 71%,1.059
binarytrees,python36,7,10,741,0.293,0,0,50% 44% 63% 41%,0.166
binarytrees,python36,7,12,741,1.243,56300,0,79% 67% 63% 66%,0.475
binarytrees,python36,7,14,741,5.840,63608,0,89% 89% 90% 93%,1.667
binarytrees,ipy,1,10,743,0.000,64644,-2,91% 80% 77% 71%,2.857
binarytrees,ipy,1,12,743,0.000,64644,-2,91% 80% 77% 71%,2.857
binarytrees,ipy,1,14,743,0.000,64644,-2,91% 80% 77% 71%,2.857
binarytrees,pypy3,6,10,743,1.650,244348,0,77% 63% 57% 65%,0.676
binarytrees,pypy3,6,12,743,2.523,261372,0,66% 61% 65% 74%,1.079
binarytrees,pypy3,6,14,743,4.777,298804,0,80% 82% 67% 76%,1.672
binarytrees,pypy,1,10,743,1.093,79676,0,44% 62% 34% 33%,0.806
binarytrees,pypy,1,12,743,1.513,90244,0,48% 73% 47% 40%,0.736
binarytrees,pypy,1,14,743,2.770,92264,0,60% 58% 55% 73%,1.152
binarytrees,numba,1,10,702,0.343,0,0,65% 44% 56% 41%,0.172
binarytrees,numba,1,12,702,1.453,58728,0,88% 74% 74% 77%,0.471
binarytrees,numba,1,14,702,7.060,73836,0,94% 91% 88% 89%,1.973
binarytrees,python,1,10,743,0.257,0,0,46% 64% 47% 54%,0.140
binarytrees,python,1,12,743,1.203,45040,0,74% 74% 77% 77%,0.432
binarytrees,python,1,14,743,5.933,59096,0,92% 91% 91% 89%,1.734
binarytrees,python3,6,10,743,0.333,0,0,78% 47% 44% 50%,0.173
binarytrees,python3,6,12,743,1.373,57068,0,81% 85% 79% 72%,0.469
binarytrees,python3,6,14,743,6.727,71116,0,91% 90% 97% 90%,1.873
