name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,cython,1,14,706,3.013,65012,0,87% 84% 92% 82%,0.974
binarytrees,python3,7,14,741,5.853,65976,0,89% 93% 87% 89%,1.667
binarytrees,pyston,1,14,743,0.987,98068,0,55% 63% 51% 72%,1.329
binarytrees,python36,7,14,741,5.840,63608,0,89% 89% 90% 93%,1.667
binarytrees,ipy,1,14,743,0.000,64644,-2,91% 80% 77% 71%,2.857
binarytrees,pypy3,6,14,743,4.777,298804,0,80% 82% 67% 76%,1.672
binarytrees,pypy,1,14,743,3.027,94688,0,59% 87% 56% 58%,1.188
binarytrees,numba,1,14,702,7.060,73836,0,94% 91% 88% 89%,1.973
binarytrees,python,1,14,743,5.933,59096,0,92% 91% 91% 89%,1.734
binarytrees,python3,6,14,743,6.727,71116,0,91% 90% 97% 90%,1.873
binarytrees,pypy3,7,14,741,4.127,289388,0,74% 75% 78% 72%,1.488
binarytrees,nuitka,7,14,741,4.117,75004,0,86% 92% 85% 90%,1.185
binarytrees,nuitka,6,14,743,4.853,78236,0,89% 88% 93% 86%,1.385
binarytrees,shedskin,1,14,743,0.000,0,-11,%,0.000
binarytrees,python36,6,14,743,6.757,71008,0,90% 92% 90% 97%,1.871
binarytrees,jython,1,14,743,0.000,124324,-2,56% 49% 75% 53%,1.737
binarytrees,python36,1,14,706,6.037,63208,0,93% 92% 87% 87%,1.782
binarytrees,python3,1,14,706,6.050,66136,0,94% 91% 93% 90%,1.681
binarytrees,nuitka,1,14,706,4.400,73652,0,87% 92% 86% 87%,1.285
binarytrees,pypy3,1,14,706,4.013,287200,0,71% 81% 67% 71%,1.478
chameneosredux,python3,2,6000000,1191,187.517,7972,0,29% 30% 46% 47%,103.776
chameneosredux,jython,1,6000000,1192,0.000,301180,-1,10% 10% 8% 8%,300.731
chameneosredux,nuitka,2,6000000,1191,190.637,11004,0,41% 42% 53% 53%,108.659
chameneosredux,cython,1,6000000,1203,183.790,8100,0,34% 38% 51% 49%,101.606
chameneosredux,python3,1,6000000,1191,194.203,7980,0,32% 33% 48% 48%,107.635
chameneosredux,pyston,1,6000000,1192,170.207,56820,0,35% 34% 49% 55%,88.954
chameneosredux,python,1,6000000,1192,174.807,6304,0,31% 28% 46% 51%,96.402
chameneosredux,pypy3,1,6000000,1191,152.087,35484,0,26% 27% 38% 36%,112.448
chameneosredux,ipy,1,6000000,1192,216.510,69484,0,51% 51% 61% 62%,131.383
chameneosredux,pypy3,2,6000000,1191,151.420,35748,0,28% 28% 37% 37%,114.371
chameneosredux,pypy,1,6000000,1192,132.153,83836,0,25% 24% 32% 41%,93.290
chameneosredux,shedskin,1,6000000,1192,0.000,0,-11,%,0.000
chameneosredux,python36,1,6000000,1191,205.820,7636,0,45% 46% 53% 55%,125.728
chameneosredux,nuitka,1,6000000,1191,180.343,10936,0,33% 36% 51% 49%,100.000
chameneosredux,python36,2,6000000,1191,198.163,7736,0,31% 34% 49% 48%,109.017
fannkuchredux,python3,4,10,1069,24.263,52952,0,98% 95% 97% 97%,6.382
fannkuchredux,python36,1,10,1271,40.210,55516,0,97% 99% 98% 96%,10.600
fannkuchredux,pypy3,6,10,552,1.737,40848,0,75% 11% 32% 15%,1.740
fannkuchredux,ipy,1,10,1008,0.000,71188,-2,51% 29% 35% 70%,1.760
fannkuchredux,nuitka,1,10,1271,30.737,63048,0,97% 98% 98% 97%,8.299
fannkuchredux,cython,1,10,1271,24.627,55928,0,97% 96% 96% 97%,6.680
fannkuchredux,pypy,1,10,1008,4.460,88620,0,79% 78% 97% 76%,1.374
fannkuchredux,python3,6,10,552,9.833,7692,0,2% 100% 2% 1%,9.830
fannkuchredux,nuitka,6,10,552,8.120,10824,0,12% 100% 13% 8%,8.118
fannkuchredux,nuitka,4,10,1069,17.787,63684,0,95% 97% 96% 97%,4.808
fannkuchredux,pypy3,2,10,1008,5.030,223236,0,84% 92% 95% 91%,1.418
fannkuchredux,nuitka,3,10,894,17.373,63820,0,98% 99% 97% 95%,4.902
fannkuchredux,python3,1,10,1271,41.340,53416,0,99% 98% 99% 98%,10.795
fannkuchredux,python36,2,10,1008,33.790,55128,0,98% 99% 96% 100%,8.880
fannkuchredux,pypy3,3,10,894,0.000,1432,-2,5% 5% 48% 5%,0.210
fannkuchredux,nuitka,2,10,1008,25.763,63552,0,92% 92% 96% 99%,7.516
fannkuchredux,python36,4,10,1069,22.657,55756,0,99% 96% 95% 97%,6.077
fannkuchredux,pypy3,4,10,1069,0.000,150144,-2,5% 5% 52% 5%,0.214
fannkuchredux,python36,6,10,552,9.503,7728,0,2% 4% 100% 2%,9.499
fannkuchredux,python3,2,10,1008,34.963,55136,0,98% 99% 99% 97%,9.086
fannkuchredux,jython,1,10,1008,0.000,135172,-2,76% 52% 70% 44%,1.902
fannkuchredux,pyston,1,10,1008,38.660,48796,0,97% 96% 99% 95%,10.241
fannkuchredux,shedskin,1,10,1008,0.000,0,-11,%,0.000
fannkuchredux,python3,3,10,894,23.427,55072,0,97% 96% 97% 97%,6.178
fannkuchredux,python,1,10,1008,27.590,156292,0,99% 96% 97% 97%,7.578
fannkuchredux,python36,3,10,894,22.273,53524,0,96% 97% 97% 97%,6.127
fannkuchredux,pypy3,1,10,1271,5.420,225616,0,85% 87% 93% 87%,1.622
fasta,pypy,1,2500000,900,3.890,86320,0,100% 3% 2% 1%,3.895
fasta,pypy3,5,2500000,2016,0.000,0,-2,0% 83% 0% 0%,0.046
fasta,cython,1,2500000,904,11.387,8136,0,60% 10% 10% 54%,11.389
fasta,python3,5,2500000,2016,16.197,420360,0,67% 58% 73% 39%,7.019
fasta,shedskin,1,2500000,900,0.000,0,-11,%,0.000
fasta,jython,1,2500000,900,35.270,269084,0,36% 22% 39% 33%,31.256
fasta,pypy3,1,2500000,904,4.990,47584,0,45% 11% 59% 11%,5.008
fasta,python36,3,2500000,1647,9.390,7844,0,4% 93% 4% 8%,9.388
fasta,pypy3,3,2500000,1647,4.570,43504,0,100% 5% 1% 6%,4.568
fasta,nuitka,5,2500000,2016,15.057,423592,0,76% 69% 70% 55%,6.277
fasta,nuitka,1,2500000,904,12.113,10960,0,11% 6% 11% 100%,12.106
fasta,python3,1,2500000,904,13.227,7860,0,48% 3% 53% 2%,13.219
fasta,pypy3,2,2500000,889,4.873,47796,0,4% 1% 4% 100%,4.874
fasta,python,1,2500000,900,10.000,12684,0,3% 10% 100% 10%,9.996
fasta,nuitka,3,2500000,1647,8.270,10920,0,12% 13% 12% 96%,8.265
fasta,pyston,1,2500000,900,10.480,65612,0,2% 3% 100% 1%,10.474
fasta,python3,3,2500000,1647,9.520,7888,0,100% 2% 1% 2%,9.516
fasta,python36,4,2500000,1698,10.207,7896,0,53% 5% 50% 4%,10.203
fasta,python3,2,2500000,889,13.517,7800,0,3% 1% 3% 100%,13.508
fasta,nuitka,2,2500000,889,12.477,10956,0,10% 100% 8% 7%,12.470
fasta,python3,4,2500000,1698,10.050,7924,0,2% 1% 2% 100%,10.046
fasta,ipy,1,2500000,900,15.040,79528,0,34% 97% 33% 27%,14.979
fasta,python36,5,2500000,2016,15.590,420360,0,82% 60% 64% 32%,6.956
fasta,python36,1,2500000,904,13.307,7816,0,4% 1% 3% 100%,13.299
fasta,python36,2,2500000,889,13.613,7752,0,4% 100% 4% 1%,13.609
fasta,nuitka,4,2500000,1698,9.077,10908,0,19% 100% 17% 16%,9.074
fasta,pypy3,4,2500000,1698,3.727,42932,0,5% 3% 33% 74%,3.726
fastaredux,nuitka,6,2500000,1040,3.593,13320,0,13% 100% 12% 7%,3.594
