name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,fsharp,3,12,565,0.536,14688,0,4% 0% 4% 100%,0.542
binarytrees,fsharp,3,16,565,1.784,30988,0,0% 0% 1% 99%,1.788
binarytrees,fsharp,3,20,565,38.320,178536,0,0% 0% 1% 100%,38.366
binarytrees,ifc,1,12,826,0.228,280,0,17% 0% 4% 100%,0.233
binarytrees,ifc,1,16,826,7.536,10448,0,1% 4% 1% 100%,7.547
binarytrees,ifc,1,20,826,173.183,153800,0,0% 0% 0% 100%,173.347
binarytrees,python3,6,12,626,0.964,27952,0,7% 1% 2% 94%,1.029
binarytrees,python3,6,16,626,22.413,66204,0,0% 0% 0% 100%,22.529
binarytrees,python3,6,20,626,504.560,685724,0,0% 0% 0% 100%,504.929
binarytrees,gcc,5,12,963,0.152,0,0,0% 0% 0% 100%,0.157
binarytrees,gcc,5,16,963,3.484,6648,0,0% 0% 1% 100%,3.488
binarytrees,gcc,5,20,963,76.044,109664,0,0% 0% 0% 100%,76.093
binarytrees,jruby,1,12,412,4.108,120108,0,3% 7% 3% 100%,6.140
binarytrees,jruby,1,16,412,9.537,580196,0,0% 1% 1% 100%,9.560
binarytrees,jruby,1,20,412,258.336,873136,0,0% 0% 0% 100%,258.583
binarytrees,clojure,6,12,705,10.412,133608,0,0% 0% 0% 100%,10.429
binarytrees,clojure,6,16,705,12.700,343968,0,1% 3% 1% 100%,12.717
binarytrees,clojure,6,20,705,40.248,553472,0,0% 0% 0% 100%,40.303
binarytrees,java,2,12,603,0.132,0,0,0% 0% 0% 100%,0.134
binarytrees,java,2,16,603,0.944,148428,0,1% 1% 3% 100%,0.954
binarytrees,java,2,20,603,15.701,506592,0,0% 1% 0% 100%,15.745
binarytrees,yarv,3,12,439,0.564,4720,0,2% 0% 3% 98%,0.582
binarytrees,yarv,3,16,439,11.140,29716,0,0% 1% 1% 100%,11.147
binarytrees,yarv,3,20,439,226.776,393684,0,0% 0% 0% 100%,226.877
binarytrees,lua,3,12,477,0.800,10588,0,2% 0% 1% 98%,0.871
binarytrees,lua,3,16,477,20.333,217564,0,0% 0% 0% 100%,20.357
binarytrees,lua,3,20,477,477.098,2963916,0,0% 0% 0% 100%,477.685
binarytrees,fsharp,2,12,515,0.900,17972,0,1% 0% 1% 100%,1.502
binarytrees,fsharp,2,16,515,2.884,43420,0,2% 0% 1% 100%,2.890
