name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,fsharp,3,12,565,0.772,15732,0,3% 5% 3% 97%,0.778
binarytrees,fsharp,3,16,565,2.064,41240,0,1% 0% 1% 99%,2.069
binarytrees,fsharp,3,20,565,39.002,179344,0,0% 65% 0% 35%,39.026
binarytrees,ifc,1,12,826,0.232,300,0,15% 4% 4% 96%,0.247
binarytrees,ifc,1,16,826,7.524,10472,0,1% 3% 100% 1%,7.537
binarytrees,ifc,1,20,826,177.991,153820,0,0% 0% 0% 100%,178.172
binarytrees,python3,6,12,626,0.984,7160,0,21% 72% 43% 20%,1.154
binarytrees,python3,6,16,626,22.005,63336,0,88% 89% 89% 96%,6.129
binarytrees,python3,6,20,626,519.696,685792,0,94% 94% 98% 93%,139.133
binarytrees,gcc,5,12,963,0.156,0,0,83% 60% 83% 80%,0.054
binarytrees,gcc,5,16,963,3.492,6680,0,96% 78% 90% 87%,1.004
binarytrees,gcc,5,20,963,81.917,107680,0,80% 95% 93% 77%,23.860
binarytrees,jruby,1,12,412,3.952,146320,0,4% 22% 72% 30%,4.862
binarytrees,jruby,1,16,412,9.745,579616,0,2% 93% 22% 22%,7.142
binarytrees,jruby,1,20,412,263.748,868844,0,31% 94% 31% 31%,141.783
binarytrees,clojure,6,12,705,11.321,125196,0,75% 93% 55% 91%,4.163
binarytrees,clojure,6,16,705,11.985,324492,0,65% 39% 46% 92%,5.002
binarytrees,clojure,6,20,705,42.179,561404,0,18% 19% 20% 91%,28.530
binarytrees,java,2,12,603,0.148,0,0,0% 17% 23% 92%,0.120
binarytrees,java,2,16,603,0.940,148920,0,9% 5% 94% 9%,0.815
binarytrees,java,2,20,603,16.901,485056,0,12% 62% 48% 12%,12.745
binarytrees,fsharp,2,12,515,1.180,17596,0,2% 86% 5% 2%,1.983
binarytrees,fsharp,2,16,515,3.204,52760,0,99% 0% 1% 1%,3.209
binarytrees,fsharp,2,20,515,70.452,276284,0,0% 3% 97% 0%,70.500
binarytrees,gpp,6,12,892,0.048,0,0,0% 50% 50% 100%,0.020
binarytrees,gpp,6,16,892,0.792,252,0,70% 79% 43% 93%,0.279
binarytrees,gpp,6,20,892,19.149,179624,0,80% 70% 97% 73%,6.031
binarytrees,go,5,12,1000,0.520,0,0,70% 47% 81% 65%,0.194
binarytrees,go,5,16,1000,12.365,19252,0,86% 80% 87% 92%,3.619
binarytrees,go,5,20,1000,259.356,274892,0,90% 87% 85% 89%,73.835
