name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,ghc,5,20,611,24.266,207260,0,0% 0% 0% 100%,24.284
binarytrees,php,3,20,483,0.000,2106340,-2,1% 2% 1% 100%,13.629
binarytrees,scala,4,20,494,16.845,502004,0,3% 8% 3% 100%,16.886
binarytrees,scala,2,20,641,0.000,696,-2,0% 0% 4% 96%,0.246
binarytrees,yarv,2,20,413,0.000,3683360,-2,13% 20% 17% 97%,64.196
binarytrees,perl,3,20,706,0.000,0,-2,0% 0% 7% 94%,0.152
binarytrees,hipe,2,20,499,57.352,647288,0,0% 0% 0% 100%,57.441
binarytrees,go,3,20,872,17.336,214416,0,0% 1% 0% 100%,17.354
binarytrees,sbcl,1,20,612,27.328,439744,0,0% 0% 0% 100%,27.375
binarytrees,fpascal,1,20,769,40.927,131384,0,1% 0% 0% 100%,40.954
binarytrees,ghc,1,20,521,21.753,361864,0,0% 0% 0% 100%,21.780
binarytrees,gcc,1,20,706,35.452,131668,0,0% 0% 0% 100%,35.484
binarytrees,racket,3,20,877,0.000,31008,-10,0% 5% 2% 100%,0.432
binarytrees,dart,1,20,543,108.124,250880,0,0% 0% 0% 100%,108.272
binarytrees,fsharp,2,20,515,144.412,274380,0,0% 0% 0% 100%,144.571
binarytrees,vw,1,20,722,81.401,320668,0,0% 0% 0% 100%,81.494
binarytrees,lua,2,20,446,461.005,1776376,0,0% 0% 0% 100%,461.638
binarytrees,ats,3,20,2143,16.349,296320,0,0% 0% 0% 100%,16.381
binarytrees,gpp,2,20,553,37.600,197756,0,0% 0% 0% 100%,37.633
binarytrees,go,4,20,688,136.476,568680,0,0% 0% 0% 100%,136.640
binarytrees,gcc,7,20,850,12.476,149200,0,0% 0% 0% 100%,12.487
binarytrees,jruby,3,20,439,0.000,866064,-2,0% 0% 0% 100%,501.481
binarytrees,ifc,1,20,826,47.991,132032,0,3% 0% 0% 100%,48.018
binarytrees,csharp,1,20,654,74.140,142908,0,0% 0% 0% 100%,74.216
binarytrees,ats,1,20,926,16.933,198256,0,0% 0% 0% 100%,16.950
binarytrees,clojure,1,20,657,25.812,587432,0,0% 0% 0% 100%,25.849
binarytrees,ocaml,1,20,563,14.805,485380,0,0% 0% 0% 100%,14.849
binarytrees,ghc,4,20,612,23.261,361884,0,0% 0% 0% 100%,23.308
binarytrees,perl,1,20,448,585.856,480396,0,0% 0% 0% 100%,586.355
binarytrees,ocaml,2,20,784,45.415,201692,0,0% 0% 0% 100%,45.507
binarytrees,v8,1,20,467,39.912,854836,0,1% 1% 1% 100%,39.987
binarytrees,gnat,5,20,2167,14.264,158372,0,0% 0% 0% 100%,14.295
binarytrees,jruby,1,20,412,293.646,994648,0,0% 0% 0% 100%,293.997
binarytrees,yarv,3,20,439,199.544,436916,0,0% 0% 0% 100%,199.693
binarytrees,sbcl,2,20,649,20.720,448628,0,0% 0% 1% 100%,20.763
binarytrees,lua,3,20,477,0.000,3734172,-1,46% 10% 8% 100%,3606.264
binarytrees,java,2,20,603,16.365,499404,0,0% 1% 0% 100%,16.415
binarytrees,scala,1,20,549,15.953,384644,0,0% 0% 0% 100%,15.986
binarytrees,yarv,1,20,412,0.000,3702400,-2,13% 5% 5% 99%,61.366
binarytrees,fsharp,3,20,565,72.776,245060,0,0% 0% 0% 100%,72.869
binarytrees,python3,6,20,626,480.362,1209444,0,0% 0% 0% 100%,480.874
binarytrees,racket,2,20,640,40.724,400328,0,0% 0% 0% 100%,40.795
binarytrees,hipe,1,20,441,67.660,872752,0,0% 0% 0% 100%,67.771
binarytrees,ifc,2,20,1199,23.201,149368,0,0% 0% 0% 100%,23.217
binarytrees,gcc,9,20,1103,7.884,229028,0,0% 0% 1% 100%,7.896
binarytrees,racket,1,20,495,49.496,459612,0,0% 0% 0% 100%,49.587
binarytrees,go,1,20,516,122.724,475300,0,0% 0% 0% 100%,122.868
binarytrees,gcc,2,20,594,3.408,49548,0,0% 0% 1% 100%,3.413
binarytrees,go,2,20,694,139.568,573556,0,0% 0% 0% 100%,139.732
binarytrees,gnat,4,20,2167,14.268,158408,0,0% 0% 0% 100%,14.298
binarytrees,csharp,2,20,650,90.112,473180,0,0% 0% 0% 100%,90.220
binarytrees,gnat,3,20,1342,98.908,656644,0,0% 0% 0% 100%,99.002
binarytrees,gcc,5,20,963,78.560,219048,0,0% 0% 0% 100%,78.626
binarytrees,go,5,20,1000,138.188,468604,0,0% 0% 0% 100%,138.348
binarytrees,gnat,1,20,955,38.076,198176,0,0% 0% 0% 100%,38.111
binarytrees,clojure,6,20,705,24.012,532384,0,0% 0% 0% 100%,24.049
binarytrees,php,1,20,504,710.928,1021852,0,0% 0% 0% 100%,711.876
binarytrees,ocaml,5,20,496,40.931,223176,0,0% 0% 0% 100%,40.985
binarytrees,java,1,20,1007,20.057,545544,0,0% 0% 0% 100%,20.106
binarytrees,gpp,6,20,892,17.388,296248,0,0% 0% 0% 100%,17.434
binarytreesredux,scala,4,20,498,100.890,159968,0,0% 0% 0% 100%,100.971
binarytreesredux,jruby,1,20,412,246.703,1007248,0,0% 0% 0% 100%,247.006
binarytreesredux,clojure,1,20,661,97.224,232708,0,0% 0% 0% 100%,97.317
binarytreesredux,ghc,1,20,521,33.150,259452,0,0% 0% 0% 100%,33.200
binarytreesredux,java,2,20,607,101.098,155008,0,0% 0% 0% 100%,101.172
binarytreesredux,clojure,6,20,709,107.296,226144,0,0% 0% 0% 100%,107.395
binarytreesredux,sbcl,2,20,649,30.204,408488,0,0% 0% 0% 100%,30.265
chameneosredux,gcc,5,6000000,2863,8.276,664,0,0% 0% 0% 100%,8.283
